rental_serial_number,fk_rental_id,fk_rental_equipment_uid,equipment_type,equipment_type_serial_number,activation_date,manufacturer,model,size,pricing_status,deactivation_date,deactivation_initials,at_offsite,notes,ski_binding_type,wide,ski_boot_type,snowboard_boot_type,snowboard_binding_color
SBB0495,687,77,SBB,495,2022-12-12,Vans,Verse,6,,,,FALSE,,,,,Men's,
SBB0496,,,SBB,496,2022-12-12,Rome,Folsom,7,,,,FALSE,,,,,Universal,
SBB0497,60,294,SBB,497,2022-12-12,DC,PBJ BOA,12,,,,FALSE,,,,,Women's,
SBB0498,,,SBB,498,2022-12-12,DC,Scout Boa,2,,,,FALSE,,,,,Junior,
SBB0499,633,80,SBB,499,2022-12-12,Head,V Boa,5,,,,FALSE,,,,,Universal,
SBB0500,,,SBB,500,2022-12-12,Salomon,Ivy Boa,5,,,,FALSE,,,,,Women's,
SBB0501,21,272,SBB,501,2022-12-12,Nidecker,Micron,5,,,,FALSE,,,,,Men's,
SBB0502,219,144,SBB,502,2022-12-12,K2,Maysis Wide,3,,,,FALSE,,,,,Universal,
SBB0503,717,202,SBB,503,2022-12-12,Forum,Stampede,1,,,,FALSE,,,,,Universal,
SBB0504,713,108,SBB,504,2022-12-12,Head,V Boa,2,,,,FALSE,,,,,Universal,
BND0001,633,56,BND,1,2022-12-12,Rossignol,Battle,L,,,,FALSE,,,,,,Black
BND0002,181,22,BND,2,2022-12-12,Burton,Progression,XS,,,,FALSE,,,,,,Yellow
BND0003,330,174,BND,3,2022-12-12,Burton,Progression,S,,,,FALSE,,,,,,Blue
BND0004,434,201,BND,4,2022-12-12,Burton,Progression,XS,,,,FALSE,,,,,,Yellow
BND0005,717,160,BND,5,2022-12-12,Burton,Progression,XS,,,,FALSE,,,,,,Blue
BND0006,94,58,BND,6,2022-12-12,Burton,Progression,XS,,,,FALSE,,,,,,Blue
BND0007,800,107,BND,7,2022-12-12,Burton,Progression,XS,,,,FALSE,,,,,,Blue
BND0008,111,300,BND,8,2022-12-12,Burton,Progression,XS,,,,FALSE,,,,,,Blue
BND0009,401,168,BND,9,2022-12-12,Burton,Progression,XS,,,,FALSE,,,,,,Blue
BND0010,261,147,BND,10,2022-12-12,Burton,Progression,XS,,,,FALSE,,,,,,Green
BND0011,594,131,BND,11,2022-12-12,Rossignol,Reflet,XS,,,,FALSE,,,,,,Black
BND0012,339,160,BND,12,2022-12-12,Burton,Progression,XS,,,,FALSE,,,,,,Yellow
BND0013,39,39,BND,13,2022-12-12,Burton,Progression,XS,,,,FALSE,,,,,,Red
BND0014,384,230,BND,14,2022-12-12,Burton,Progression,XS,,,,FALSE,,,,,,Yellow
BND0015,528,179,BND,15,2022-12-12,Burton,Progression,XS,,,,FALSE,,,,,,Yellow
BND0016,259,50,BND,16,2022-12-12,Burton,Progression,M/L,,,,FALSE,,,,,,Blue
BND0017,689,222,BND,17,2022-12-12,Rossignol,Reflet,M/L,,,,FALSE,,,,,,Black
BND0018,203,10,BND,18,2022-12-12,Burton,Progression,M/L,,,,FALSE,,,,,,Blue
BND0019,761,289,BND,19,2022-12-12,Rossignol,Battle,M/L,,,,FALSE,,,,,,Black
BND0020,325,81,BND,20,2022-12-12,Rossignol,Reflet,M/L,,,,FALSE,,,,,,Black
BND0021,644,284,BND,21,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Yellow
BND0022,574,149,BND,22,2022-12-12,Rossignol,Reflet,S/M,,,,FALSE,,,,,,Black
BND0023,547,88,BND,23,2022-12-12,Rossignol,Battle,S/M,,,,FALSE,,,,,,Black
BND0024,304,48,BND,24,2022-12-12,Rossignol,Battle,S/M,,,,FALSE,,,,,,Black
BND0025,650,43,BND,25,2022-12-12,Rossignol,Battle,S/M,,,,FALSE,,,,,,Black
BND0026,784,144,BND,26,2022-12-12,Rossignol,Battle,S/M,,,,FALSE,,,,,,Black
BND0027,303,130,BND,27,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Blue
BND0028,70,147,BND,28,2022-12-12,Rossignol,Battle,M/L,,,,FALSE,,,,,,Black
BND0029,410,38,BND,29,2022-12-12,Rossignol,Battle,S,,,,FALSE,,,,,,Black
BND0030,767,196,BND,30,2022-12-12,Burton,Progression,M/L,,,,FALSE,,,,,,Blue
BND0031,192,248,BND,31,2022-12-12,Rossignol,Battle,M/L,,,,FALSE,,,,,,Black
BND0032,138,131,BND,32,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Red
BND0033,635,167,BND,33,2022-12-12,Rossignol,Battle,S/M,,,,FALSE,,,,,,Black
BND0034,416,1,BND,34,2022-12-12,Rossignol,Battle,L,,,,FALSE,,,,,,Black
BND0035,278,240,BND,35,2022-12-12,Burton,Progression,M,,,,FALSE,,,,,,Blue
BND0036,662,107,BND,36,2022-12-12,Burton,Progression,L,,,,FALSE,,,,,,Blue
BND0037,44,88,BND,37,2022-12-12,Burton,Progression,M,,,,FALSE,,,,,,Blue
BND0038,6,130,BND,38,2022-12-12,Burton,Progression,M,,,,FALSE,,,,,,Blue
BND0039,63,179,BND,39,2022-12-12,Rossignol,Battle,M,,,,FALSE,,,,,,Black
BND0040,285,103,BND,40,2022-12-12,Rossignol,Battle,M,,,,FALSE,,,,,,Black
BND0041,562,1,BND,41,2022-12-12,Rossignol,Battle,M,,,,FALSE,,,,,,Black
BND0042,570,49,BND,42,2022-12-12,Burton,Progression,L,,,,FALSE,,,,,,Blue
BND0043,71,162,BND,43,2022-12-12,Burton,Progression,M,,,,FALSE,,,,,,Green
BND0044,36,191,BND,44,2022-12-12,Burton,Progression,M,,,,FALSE,,,,,,Green
BND0045,153,164,BND,45,2022-12-12,Burton,Progression,M,,,,FALSE,,,,,,Blue
BND0046,598,190,BND,46,2022-12-12,Rossignol,Reflet,M,,,,FALSE,,,,,,Black
BND0047,581,289,BND,47,2022-12-12,Burton,Progression,L,,,,FALSE,,,,,,Blue
BND0048,499,202,BND,48,2022-12-12,Rossignol,Reflet,M,,,,FALSE,,,,,,Black
BND0049,252,56,BND,49,2022-12-12,Rossignol,Reflet,L,,,,FALSE,,,,,,Black
BND0050,3,53,BND,50,2022-12-12,Burton,Progression,M,,,,FALSE,,,,,,Blue
BND0051,584,184,BND,51,2022-12-12,Rossignol,Battle,L/XL,,,,FALSE,,,,,,Black
BND0052,196,191,BND,52,2022-12-12,Rossignol,Battle,L,,,,FALSE,,,,,,Black
BND0053,272,147,BND,53,2022-12-12,Burton,Progression,M/L,,,,FALSE,,,,,,Yellow
BND0054,749,108,BND,54,2022-12-12,Burton,Progression,M,,,,FALSE,,,,,,Yellow
BND0055,317,252,BND,55,2022-12-12,Burton,Progression,M/L,,,,FALSE,,,,,,Blue
BND0056,179,87,BND,56,2022-12-12,Burton,Progression,M/L,,,,FALSE,,,,,,Blue
BND0057,572,182,BND,57,2022-12-12,Burton,Progression,XS,,,,FALSE,,,,,,Blue
BND0058,366,294,BND,58,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Blue
BND0059,462,57,BND,59,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Blue
BND0060,31,108,BND,60,2022-12-12,Burton,Progression,XL,,,,FALSE,,,,,,Blue
BND0061,24,22,BND,61,2022-12-12,Rossignol,Battle,S/M,,,,FALSE,,,,,,Black
BND0062,245,94,BND,62,2022-12-12,Burton,Progression,M/L,,,,FALSE,,,,,,Green
BND0063,440,49,BND,63,2022-12-12,Rossignol,Battle,S/M,,,,FALSE,,,,,,Black
BND0064,198,123,BND,64,2022-12-12,Burton,Progression,XL,,,,FALSE,,,,,,Blue
BND0065,221,199,BND,65,2022-12-12,Rossignol,Battle,L/XL,,,,FALSE,,,,,,Black
BND0066,363,191,BND,66,2022-12-12,Burton,Progression,L,,,,FALSE,,,,,,Yellow
BND0067,21,288,BND,67,2022-12-12,Rossignol,Reflet,XL,,,,FALSE,,,,,,Black
BND0068,60,168,BND,68,2022-12-12,Rossignol,Battle,S/M,,,,FALSE,,,,,,Black
BND0069,90,84,BND,69,2022-12-12,Burton,Progression,M,,,,FALSE,,,,,,Green
BND0070,549,288,BND,70,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Red
BND0071,412,47,BND,71,2022-12-12,Burton,Progression,XL,,,,FALSE,,,,,,Blue
BND0072,118,123,BND,72,2022-12-12,Burton,Progression,M,,,,FALSE,,,,,,Blue
BND0073,632,58,BND,73,2022-12-12,Rossignol,Battle,S/M,,,,FALSE,,,,,,Black
BND0074,199,213,BND,74,2022-12-12,Rossignol,Battle,S/M,,,,FALSE,,,,,,Black
BND0075,732,201,BND,75,2022-12-12,Rossignol,Battle,L/XL,,,,FALSE,,,,,,Black
BND0076,385,131,BND,76,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Blue
BND0077,42,81,BND,77,2022-12-12,Burton,Progression,XL,,,,FALSE,,,,,,Blue
BND0078,484,45,BND,78,2022-12-12,Rossignol,Battle,S/M,,,,FALSE,,,,,,Black
BND0079,190,149,BND,79,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Red
BND0080,239,238,BND,80,2022-12-12,Rossignol,Battle,M,,,,FALSE,,,,,,Black
BND0081,48,234,BND,81,2022-12-12,Rossignol,Reflet,S/M,,,,FALSE,,,,,,Black
BND0082,654,177,BND,82,2022-12-12,Rossignol,Battle,XL,,,,FALSE,,,,,,Black
BND0083,545,272,BND,83,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Yellow
BND0084,381,168,BND,84,2022-12-12,Burton,Progression,L,,,,FALSE,,,,,,Yellow
BND0085,661,252,BND,85,2022-12-12,Rossignol,Battle,S/M,,,,FALSE,,,,,,Black
BND0086,143,147,BND,86,2022-12-12,Rossignol,Battle,S,,,,FALSE,,,,,,Black
BND0087,262,84,BND,87,2022-12-12,Rossignol,Reflet,M/L,,,,FALSE,,,,,,Black
BND0088,417,243,BND,88,2022-12-12,Rossignol,Battle,S,,,,FALSE,,,,,,Black
BND0089,396,178,BND,89,2022-12-12,Rossignol,Battle,S/M,,,,FALSE,,,,,,Black
BND0090,716,271,BND,90,2022-12-12,Burton,Progression,L,,,,FALSE,,,,,,Blue
BND0091,498,149,BND,91,2022-12-12,Burton,Progression,L,,,,FALSE,,,,,,Blue
BND0092,442,162,BND,92,2022-12-12,Burton,Progression,L,,,,FALSE,,,,,,Blue
BND0093,471,94,BND,93,2022-12-12,Rossignol,Reflet,L,,,,FALSE,,,,,,Black
BND0094,219,219,BND,94,2022-12-12,Burton,Progression,XL,,,,FALSE,,,,,,Blue
BND0095,423,213,BND,95,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Blue
BND0096,687,284,BND,96,2022-12-12,Rossignol,Battle,M/L,,,,FALSE,,,,,,Black
BND0097,611,1,BND,97,2022-12-12,Burton,Progression,M/L,,,,FALSE,,,,,,Blue
BND0098,655,173,BND,98,2022-12-12,Rossignol,Battle,S/M,,,,FALSE,,,,,,Black
BND0099,652,162,BND,99,2022-12-12,Rossignol,Reflet,S/M,,,,FALSE,,,,,,Black
BND0100,319,52,BND,100,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Blue
BND0101,80,234,BND,101,2022-12-12,Burton,Progression,XS,,,,FALSE,,,,,,Red
BND0102,38,300,BND,102,2022-12-12,Rossignol,Battle,S/M,,,,FALSE,,,,,,Black
BND0103,428,234,BND,103,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Blue
BND0104,426,58,BND,104,2022-12-12,Rossignol,Battle,S/M,,,,FALSE,,,,,,Black
BND0105,408,48,BND,105,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Blue
BND0106,308,88,BND,106,2022-12-12,Rossignol,Reflet,S/M,,,,FALSE,,,,,,Black
BND0107,455,234,BND,107,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Green
BND0108,228,104,BND,108,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Blue
BND0109,253,57,BND,109,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Blue
BND0110,258,255,BND,110,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Blue
BND0111,397,45,BND,111,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Blue
BND0112,585,107,BND,112,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Blue
BND0113,379,56,BND,113,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Yellow
BND0114,127,164,BND,114,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Blue
BND0115,369,103,BND,115,2022-12-12,Rossignol,Battle,S/M,,,,FALSE,,,,,,Black
BND0116,506,24,BND,116,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Yellow
BND0117,149,199,BND,117,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Red
BND0118,277,219,BND,118,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Blue
BND0119,168,123,BND,119,2022-12-12,Rossignol,Reflet,S/M,,,,FALSE,,,,,,Black
BND0120,797,58,BND,120,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Blue
BND0121,792,177,BND,121,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Yellow
BND0122,11,202,BND,122,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Blue
BND0123,418,130,BND,123,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Yellow
BND0124,672,182,BND,124,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Blue
BND0125,766,142,BND,125,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Green
BND0126,702,80,BND,126,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Green
BND0127,554,58,BND,127,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Yellow
BND0128,223,252,BND,128,2022-12-12,Rossignol,Battle,S/M,,,,FALSE,,,,,,Black
BND0129,620,242,BND,129,2022-12-12,Rossignol,Reflet,S/M,,,,FALSE,,,,,,Black
BND0130,737,288,BND,130,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Yellow
BND0131,703,173,BND,131,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Red
BND0132,678,52,BND,132,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Red
BND0133,159,57,BND,133,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Yellow
BND0134,517,219,BND,134,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Yellow
BND0135,555,87,BND,135,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Red
BND0136,372,94,BND,136,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Green
BND0137,682,191,BND,137,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Yellow
BND0138,670,22,BND,138,2022-12-12,Rossignol,Battle,S/M,,,,FALSE,,,,,,Black
BND0139,551,77,BND,139,2022-12-12,Rossignol,Battle,S/M,,,,FALSE,,,,,,Black
BND0140,56,87,BND,140,2022-12-12,Rossignol,Battle,S/M,,,,FALSE,,,,,,Black
BND0141,188,246,BND,141,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Blue
BND0142,306,288,BND,142,2022-12-12,Burton,Progression,XL,,,,FALSE,,,,,,Yellow
BND0143,329,247,BND,143,2022-12-12,Rossignol,Battle,XL,,,,FALSE,,,,,,Black
BND0144,145,201,BND,144,2022-12-12,Rossignol,Battle,XL,,,,FALSE,,,,,,Black
BND0145,725,252,BND,145,2022-12-12,Burton,Progression,L,,,,FALSE,,,,,,Red
BND0146,142,243,BND,146,2022-12-12,Rossignol,Reflet,M/L,,,,FALSE,,,,,,Black
BND0147,271,170,BND,147,2022-12-12,Burton,Progression,L,,,,FALSE,,,,,,Blue
BND0148,458,182,BND,148,2022-12-12,Rossignol,Battle,M/L,,,,FALSE,,,,,,Black
BND0149,664,19,BND,149,2022-12-12,Burton,Progression,M/L,,,,FALSE,,,,,,Blue
BND0150,213,248,BND,150,2022-12-12,Burton,Progression,S,,,,FALSE,,,,,,Blue
BND0151,177,222,BND,151,2022-12-12,Burton,Progression,M/L,,,,FALSE,,,,,,Red
BND0152,532,167,BND,152,2022-12-12,Rossignol,Battle,M/L,,,,FALSE,,,,,,Black
BND0153,360,47,BND,153,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Blue
BND0154,287,52,BND,154,2022-12-12,Burton,Progression,M/L,,,,FALSE,,,,,,Blue
BND0155,772,167,BND,155,2022-12-12,Burton,Progression,M/L,,,,FALSE,,,,,,Yellow
BND0156,414,213,BND,156,2022-12-12,Rossignol,Battle,M/L,,,,FALSE,,,,,,Black
BND0157,68,19,BND,157,2022-12-12,Rossignol,Battle,M/L,,,,FALSE,,,,,,Black
BND0158,212,56,BND,158,2022-12-12,Rossignol,Battle,S/M,,,,FALSE,,,,,,Black
BND0159,267,119,BND,159,2022-12-12,Rossignol,Battle,S,,,,FALSE,,,,,,Black
BND0160,588,130,BND,160,2022-12-12,Burton,Progression,S,,,,FALSE,,,,,,Yellow
BND0161,43,240,BND,161,2022-12-12,Burton,Progression,S,,,,FALSE,,,,,,Blue
BND0162,222,184,BND,162,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Blue
BND0163,642,246,BND,163,2022-12-12,Burton,Progression,M/L,,,,FALSE,,,,,,Yellow
BND0164,444,92,BND,164,2022-12-12,Rossignol,Reflet,XS,,,,FALSE,,,,,,Black
BND0165,209,142,BND,165,2022-12-12,Burton,Progression,M/L,,,,FALSE,,,,,,Red
BND0166,350,182,BND,166,2022-12-12,Rossignol,Battle,M/L,,,,FALSE,,,,,,Black
BND0167,563,199,BND,167,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Blue
BND0168,318,144,BND,168,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Green
BND0169,738,119,BND,169,2022-12-12,Burton,Progression,M/L,,,,FALSE,,,,,,Blue
BND0170,380,164,BND,170,2022-12-12,Burton,Progression,M/L,,,,FALSE,,,,,,Yellow
BND0171,101,142,BND,171,2022-12-12,Burton,Progression,,,,,FALSE,,,,,,Blue
BND0172,739,77,BND,172,2022-12-12,Burton,Progression,S,,,,FALSE,,,,,,Blue
BND0173,364,170,BND,173,2022-12-12,Rossignol,Battle,M/L,,,,FALSE,,,,,,Black
BND0174,244,48,BND,174,2022-12-12,Burton,Progression,M/L,,,,FALSE,,,,,,Yellow
BND0175,591,247,BND,175,2022-12-12,Burton,Progression,L,,,,FALSE,,,,,,Yellow
BND0176,618,255,BND,176,2022-12-12,Rossignol,Reflet,M/L,,,,FALSE,,,,,,Black
BND0177,729,269,BND,177,2022-12-12,Burton,Progression,L,,,,FALSE,,,,,,Blue
BND0178,26,39,BND,178,2022-12-12,Burton,Progression,M,,,,FALSE,,,,,,Yellow
BND0179,707,149,BND,179,2022-12-12,Rossignol,Battle,M,,,,FALSE,,,,,,Black
BND0180,614,108,BND,180,2022-12-12,Burton,Progression,L,,,,FALSE,,,,,,Red
BND0181,358,99,BND,181,2022-12-12,Burton,Progression,L,,,,FALSE,,,,,,Green
BND0182,321,124,BND,182,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Yellow
BND0183,96,213,BND,183,2022-12-12,Rossignol,Battle,M,,,,FALSE,,,,,,Black
BND0184,283,222,BND,184,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Blue
BND0185,137,121,BND,185,2022-12-12,Rossignol,Battle,L,,,,FALSE,,,,,,Black
BND0186,184,213,BND,186,2022-12-12,Burton,Progression,M/L,,,,FALSE,,,,,,Blue
BND0187,582,248,BND,187,2022-12-12,Burton,Progression,XL,,,,FALSE,,,,,,Blue
BND0188,362,130,BND,188,2022-12-12,Burton,Progression,M/L,,,,FALSE,,,,,,Blue
BND0189,185,254,BND,189,2022-12-12,Burton,Progression,L,,,,FALSE,,,,,,Yellow
BND0190,162,255,BND,190,2022-12-12,Rossignol,Battle,S/M,,,,FALSE,,,,,,Black
BND0191,371,170,BND,191,2022-12-12,Burton,Progression,XL,,,,FALSE,,,,,,Yellow
BND0192,518,196,BND,192,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Green
BND0193,257,272,BND,193,2022-12-12,Rossignol,Battle,S/M,,,,FALSE,,,,,,Black
BND0194,571,131,BND,194,2022-12-12,Burton,Progression,M/L,,,,FALSE,,,,,,Green
BND0195,290,254,BND,195,2022-12-12,Rossignol,Battle,S,,,,FALSE,,,,,,Black
BND0196,54,200,BND,196,2022-12-12,Rossignol,Battle,M/L,,,,FALSE,,,,,,Black
BND0197,355,219,BND,197,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Green
BND0198,424,300,BND,198,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Red
BND0199,579,53,BND,199,2022-12-12,Rossignol,Battle,S/M,,,,FALSE,,,,,,Black
BND0200,132,57,BND,200,2022-12-12,Burton,Progression,M/L,,,,FALSE,,,,,,Green
BND0201,297,30,BND,201,2022-12-12,Burton,Progression,M/L,,,,FALSE,,,,,,Blue
BND0202,235,170,BND,202,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Yellow
BND0203,166,50,BND,203,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Yellow
BND0204,552,184,BND,204,2022-12-12,Burton,Progression,XS,,,,FALSE,,,,,,Blue
BND0205,516,252,BND,205,2022-12-12,Rossignol,Reflet,S/M,,,,FALSE,,,,,,Black
BND0206,438,80,BND,206,2022-12-12,Rossignol,Battle,S/M,,,,FALSE,,,,,,Black
BND0207,322,142,BND,207,2022-12-12,Burton,Progression,XL,,,,FALSE,,,,,,Blue
BND0208,752,196,BND,208,2022-12-12,Burton,Progression,XS,,,,FALSE,,,,,,Yellow
BND0209,233,219,BND,209,2022-12-12,Rossignol,Battle,XL,,,,FALSE,,,,,,Black
BND0210,17,195,BND,210,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Blue
BND0211,544,234,BND,211,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Green
BND0212,314,58,BND,212,2022-12-12,Rossignol,Battle,S/M,,,,FALSE,,,,,,Black
BND0213,180,121,BND,213,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Blue
BND0214,713,193,BND,214,2022-12-12,Burton,Progression,XL,,,,FALSE,,,,,,Blue
BND0215,429,58,BND,215,2022-12-12,Burton,Progression,M/L,,,,FALSE,,,,,,Red
BND0216,590,191,BND,216,2022-12-12,Burton,Progression,M/L,,,,FALSE,,,,,,Blue
BND0217,338,84,BND,217,2022-12-12,Rossignol,Battle,S/M,,,,FALSE,,,,,,Black
BND0218,751,142,BND,218,2022-12-12,Rossignol,Battle,XS,,,,FALSE,,,,,,Black
BND0219,795,202,BND,219,2022-12-12,Burton,Progression,M/L,,,,FALSE,,,,,,Yellow
BND0220,248,124,BND,220,2022-12-12,Rossignol,Reflet,S/M,,,,FALSE,,,,,,Black
BND0221,270,178,BND,221,2022-12-12,Burton,Progression,M/L,,,,FALSE,,,,,,Yellow
BND0222,740,94,BND,222,2022-12-12,Burton,Progression,M/L,,,,FALSE,,,,,,Yellow
BND0223,794,149,BND,223,2022-12-12,Burton,Progression,S,,,,FALSE,,,,,,Yellow
BND0224,402,194,BND,224,2022-12-12,Burton,Progression,XS,,,,FALSE,,,,,,Blue
BND0225,750,272,BND,225,2022-12-12,Burton,Progression,XS,,,,FALSE,,,,,,Red
BND0226,147,58,BND,226,2022-12-12,Burton,Progression,XS,,,,FALSE,,,,,,Blue
BND0227,441,131,BND,227,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Green
BND0228,34,271,BND,228,2022-12-12,Rossignol,Reflet,S/M,,,,FALSE,,,,,,Black
BND0229,718,255,BND,229,2022-12-12,Rossignol,Battle,M/L,,,,FALSE,,,,,,Black
BND0230,20,75,BND,230,2022-12-12,Rossignol,Battle,M,,,,FALSE,,,,,,Black
BND0231,121,92,BND,231,2022-12-12,Rossignol,Battle,M,,,,FALSE,,,,,,Black
BND0232,643,82,BND,232,2022-12-12,Rossignol,Battle,S/M,,,,FALSE,,,,,,Black
BND0233,78,104,BND,233,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Blue
BND0234,621,284,BND,234,2022-12-12,Rossignol,Battle,S/M,,,,FALSE,,,,,,Black
BND0235,477,80,BND,235,2022-12-12,Rossignol,Battle,XL,,,,FALSE,,,,,,Black
BND0236,327,1,BND,236,2022-12-12,Burton,Progression,XS,,,,FALSE,,,,,,Blue
BND0237,284,247,BND,237,2022-12-12,Burton,Progression,S/M,,,,FALSE,,,,,,Blue
SP0001,736,143,SP,1,2023-03-05,,,28,,,,,,,,,,
SP0002,30,113,SP,2,2023-03-05,,,30,,,,,,,,,,
SP0003,,,SP,3,2023-03-05,,,32,,,,,,,,,,
SP0004,531,114,SP,4,2023-03-05,,,34,,,,,,,,,,
SP0005,81,115,SP,5,2023-03-05,,,36,,,,,,,,,,
SP0006,663,185,SP,6,2023-03-05,,,38,,,,,,,,,,
SP0007,,,SP,7,2023-03-05,,,44,,,,,,,,,,
SP0008,647,40,SP,8,2023-03-05,,,46,,,,,,,,,,
SP0009,,,SP,9,2023-03-05,,,48,,,,,,,,,,
SP0010,,,SP,10,2023-03-05,,,50,,,,,,,,,,
SP0011,,,SP,11,2023-03-05,,,52,,,,,,,,,,
SP0012,,,SP,12,2023-03-05,,,54,,,,,,,,,,
SP0013,75,292,SP,13,2023-03-05,,,56,,,,,,,,,,
SP0014,367,54,SP,14,2023-03-05,,,28,,,,,,,,,,
SP0015,,,SP,15,2023-03-05,,,30,,,,,,,,,,
SP0016,,,SP,16,2023-03-05,,,32,,,,,,,,,,
SP0017,,,SP,17,2023-03-05,,,34,,,,,,,,,,
SP0018,630,188,SP,18,2023-03-05,,,36,,,,,,,,,,
SP0019,1,296,SP,19,2023-03-05,,,38,,,,,,,,,,
SP0020,323,29,SP,20,2023-03-05,,,44,,,,,,,,,,
SP0021,,,SP,21,2023-03-05,,,46,,,,,,,,,,
SP0022,,,SP,22,2023-03-05,,,48,,,,,,,,,,
SP0023,422,297,SP,23,2023-03-05,,,50,,,,,,,,,,
SP0024,745,37,SP,24,2023-03-05,,,52,,,,,,,,,,
SP0025,200,136,SP,25,2023-03-05,,,54,,,,,,,,,,
SP0026,,,SP,26,2023-03-05,,,56,,,,,,,,,,
SP0027,,,SP,27,2023-03-05,,,28,,,,,,,,,,
SP0028,,,SP,28,2023-03-05,,,30,,,,,,,,,,
SP0029,,,SP,29,2023-03-05,,,32,,,,,,,,,,
SP0030,375,117,SP,30,2023-03-05,,,34,,,,,,,,,,
SP0031,,,SP,31,2023-03-05,,,36,,,,,,,,,,
SP0032,,,SP,32,2023-03-05,,,38,,,,,,,,,,
SP0033,521,172,SP,33,2023-03-05,,,44,,,,,,,,,,
SP0034,775,166,SP,34,2023-03-05,,,46,,,,,,,,,,
SP0035,273,216,SP,35,2023-03-05,,,48,,,,,,,,,,
SP0036,,,SP,36,2023-03-05,,,50,,,,,,,,,,
SP0037,,,SP,37,2023-03-05,,,52,,,,,,,,,,
SP0038,515,66,SP,38,2023-03-05,,,54,,,,,,,,,,
SP0039,,,SP,39,2023-03-05,,,56,,,,,,,,,,
SP0040,,,SP,40,2023-03-05,,,28,,,,,,,,,,
SP0041,494,293,SP,41,2023-03-05,,,30,,,,,,,,,,
SP0042,,,SP,42,2023-03-05,,,32,,,,,,,,,,
SP0043,,,SP,43,2023-03-05,,,34,,,,,,,,,,
SP0044,741,250,SP,44,2023-03-05,,,36,,,,,,,,,,
SP0045,241,98,SP,45,2023-03-05,,,38,,,,,,,,,,
